Recency,Frequency,Monetary
22,3,840.21
67,1,351.45
16,8,2539.46
15,2,454.86
16,4,1614.91
160,2,554.22
242,1,294.56
218,1,134.7
44,8,2151.08
20,4,628.66
126,8,889.9300000000001
38,1,108.97999999999999
120,2,1021.58
259,1,409.57
9,1,133.5
273,1,262.1
164,1,51.0
156,4,1078.96
214,1,90.6
5,2,163.62
365,1,174.4
79,2,682.24
42,1,225.12
18,3,882.58
31,4,2118.03
21,1,151.5
108,8,3717.35
319,1,155.0
294,1,100.5
357,1,76.55
184,1,235.56
190,2,617.05
43,2,348.1
51,1,202.68
25,1,615.49
37,3,1247.69
8,3,202.11
296,1,142.4
32,3,1727.6
9,8,3172.04
64,2,1012.26
9,9,4588.17
217,1,67.95
1,9,3444.11
64,2,487.99
148,1,559.7
3,13,4039.98
129,4,1426.31
33,6,1409.72
118,1,156.75
106,5,2098.08
10,7,2599.03
70,6,1926.25
91,9,877.28
310,1,1063.0
42,2,761.3299999999999
361,1,121.05
91,7,1485.1299999999999
21,2,490.22
3,3,1937.25
10,6,1051.79
98,1,385.87
56,2,813.11
0,6,4263.64
217,1,265.2
17,1,322.08
23,10,3957.55
49,2,363.34000000000003
6,5,1209.3700000000001
302,1,423.26
9,6,2248.5
21,6,1372.8
98,1,89.06
365,1,63.0
305,1,131.9
319,1,2661.24
7,5,2357.6800000000003
0,4,1670.8400000000001
204,2,1548.87
53,4,1416.45
0,4,1005.55
18,5,1163.23
8,2,375.35
18,4,885.8
180,3,483.25
59,2,643.9
10,2,259.05
189,1,119.93
4,9,3000.8
310,1,113.64
154,1,1837.92
109,3,434.34
147,3,2102.67
65,11,1947.52
97,3,529.62
246,3,1038.44
28,7,2272.4
17,4,596.26
11,2,461.19
103,8,1852.67
73,2,234.34000000000003
45,1,537.71
71,3,809.77
256,1,193.0
19,4,1307.81
253,2,316.25
10,1,279.05
164,2,636.51
17,6,2022.81
281,1,137.1
49,1,321.92
38,1,162.8
26,6,1165.48
67,1,1048.33
206,1,463.38
174,2,340.93
6,5,2362.84
25,1,139.56
50,2,123.8
311,2,538.8100000000001
308,1,457.47
42,5,1957.32
25,3,808.44
87,3,356.85
183,2,198.71
19,11,2309.69
2,6,3543.26
46,4,673.26
16,5,1960.65
23,6,1352.88
21,2,268.05
10,5,1267.4099999999999
187,2,275.28
100,3,438.49
60,3,990.2
17,6,2076.89
32,2,330.45
63,1,174.37
1,2,270.6
23,4,974.54
107,1,241.09
31,9,1843.83
19,9,4150.07
36,1,364.21999999999997
59,3,578.61
25,6,2862.11
235,4,932.85
24,7,1812.6200000000001
59,3,2831.7400000000002
259,1,170.95
57,1,355.56
64,2,388.25
15,2,537.48
9,3,952.66
58,8,1453.35
185,1,103.25
23,2,2004.3
4,5,2528.68
3,8,3953.9500000000003
150,2,652.8
310,1,289.24
10,2,757.37
17,2,186.23
151,1,164.22
18,5,859.27
9,4,2279.4900000000002
56,2,312.54
84,1,0.0
75,3,1080.76
95,4,2923.77
110,1,1432.0
56,2,1524.46
0,1,227.39
280,2,217.21
2,7,2790.34
179,9,1590.12
371,1,35.400000000000006
12,4,859.71
2,1,168.63
16,1,138.6
40,1,114.11
5,5,986.96
168,4,969.26
49,1,157.05
276,1,134.16
18,9,1577.39
371,1,39.75
14,4,1320.21
34,3,557.94
21,3,617.15
6,2,363.33
19,6,1740.6
10,2,866.24
43,1,221.97
305,1,393.33000000000004
10,1,213.96
274,1,660.0
3,4,1785.15
71,4,601.56
242,3,406.08000000000004
8,3,553.44
245,1,379.51
205,2,393.28000000000003
0,5,1765.76
184,1,320.58000000000004
31,5,862.12
56,2,225.85
195,2,892.88
23,4,2757.07
90,2,671.96
3,2,935.46
50,3,1006.98
262,1,114.56
265,1,344.90000000000003
35,2,609.85
50,1,443.6
51,6,2952.34
23,6,2024.45
21,1,110.46
58,1,96.12
169,2,668.61
67,2,813.3100000000001
156,2,597.09
200,1,236.04000000000002
4,4,1402.59
66,2,653.75
76,1,114.18
0,7,1916.7
7,4,1930.15
168,2,291.05
17,4,838.27
4,2,247.15
8,9,2486.28
86,2,285.74
26,1,107.95
28,4,741.37
19,2,636.24
60,5,1258.38
23,1,179.95
241,3,1259.24
279,2,392.86
234,2,765.55
2,5,1736.4
15,1,596.36
30,6,2544.85
70,3,498.95
187,2,52.0
25,5,1201.51
106,1,628.38
208,1,112.8
43,2,355.05
30,5,2114.33
136,4,582.05
264,1,172.9
3,7,2072.67
217,2,188.60999999999999
1,5,1217.27
213,1,109.13000000000001
31,3,2195.1
10,9,2502.2400000000002
14,1,318.17
19,7,1461.6200000000001
198,1,179.0
2,3,1096.6699999999998
14,13,4911.14
13,4,599.48
9,11,2809.02
28,3,917.07
8,11,2660.1
23,1,160.19
24,4,867.38
42,2,307.51
1,5,1571.89
5,3,663.81
146,1,180.42000000000002
9,6,1120.66
24,1,655.58
273,1,268.58
373,1,313.49
0,8,1897.57
46,3,380.02
7,8,2686.34
3,3,1164.55
42,7,1289.94
3,7,3899.1
196,3,1423.21
11,6,1400.34
15,7,1088.53
112,5,1167.16
248,1,294.3
28,5,1415.75
43,1,389.64
86,1,563.15
44,2,638.05
9,11,4965.38
14,1,738.96
74,1,420.5
144,4,1484.06
4,3,1625.97
296,1,53.8
58,2,255.9
263,1,300.52
46,1,250.55
28,3,254.11
7,6,2473.37
16,2,139.5
231,2,876.42
111,1,139.26
57,3,1011.9
50,11,2195.58
126,2,730.86
280,3,386.15
54,2,447.68
319,1,200.10000000000002
25,2,289.99
9,2,77.4
6,2,679.4399999999999
28,1,197.64
16,4,745.06
63,1,6.2
20,1,214.14
2,7,1276.11
165,1,131.45000000000002
52,3,173.74
50,1,157.7
47,12,4240.14
60,1,189.34
161,3,845.55
8,1,353.27
14,4,546.4
74,1,193.39000000000001
39,8,2507.95
40,11,2085.33
369,2,152.88
36,2,778.5
196,1,271.85
199,2,1010.34
73,3,657.8
63,2,272.07
20,4,507.29
366,1,48.800000000000004
179,3,321.43
9,4,1127.71
3,12,2221.01
196,3,2139.76
28,4,659.65
52,1,188.03
17,6,1698.35
9,3,102.44999999999999
89,4,1641.2
267,1,62.85
52,6,3295.76
43,4,2456.8
63,4,3189.81
148,1,309.4
311,1,325.75
22,2,511.35
57,6,2836.69
23,2,464.85
77,7,2730.09
118,2,645.65
35,3,1290.53
59,2,1165.65
12,4,1352.04
18,1,168.62
51,1,125.79
25,2,841.1999999999999
28,1,266.76
6,2,52.2
185,3,710.28
2,8,2939.64
8,2,717.7
261,1,327.25
2,4,501.28000000000003
209,1,519.68
107,2,1457.67
12,9,1476.09
76,3,690.59
19,1,255.4
26,2,589.7
18,6,756.64
131,1,765.3199999999999
252,1,364.8
78,1,1862.0
206,1,369.2
335,1,135.9
253,1,125.65
147,2,554.38
9,2,1237.8500000000001
84,1,655.75
204,2,468.77000000000004
7,4,1366.38
22,6,1217.96
10,9,1414.99
25,1,314.11
20,5,2759.28
1,2,1025.44
157,2,599.9
2,7,3478.85
73,1,277.8
2,4,397.36
16,2,867.85
35,4,1227.43
90,2,258.83
70,4,1264.84
115,2,1610.15
212,2,977.77
29,2,1316.07
50,1,749.1
245,1,310.05
31,1,223.88
108,3,2362.96
4,4,864.6800000000001
365,1,313.53
81,2,1888.84
296,1,1784.71
56,3,1617.63
13,1,100.9
71,2,290.82
22,6,1066.57
18,1,361.25
78,1,311.69
24,1,285.67
11,1,294.85
252,1,58.49
146,3,483.72999999999996
63,4,684.97
7,2,221.27
270,1,126.7
9,5,1472.34
246,1,206.21
95,2,596.09
14,1,183.02
49,1,463.8
29,1,147.59
67,4,1592.06
34,3,1097.98
127,1,114.77
106,3,1314.45
36,1,89.94
56,1,279.94
56,6,749.86
71,5,1921.3700000000001
245,1,102.12
18,2,202.37
197,2,292.01
15,2,326.4
211,1,334.54
38,2,231.98000000000002
45,3,540.98
169,2,414.87
47,1,490.52
115,4,1641.76
146,1,1220.38
50,1,475.43
158,1,156.91
11,3,1259.43
35,1,308.94
53,2,405.04
42,2,257.67
172,1,170.04
33,1,125.58
38,3,456.26
266,1,252.81
8,9,1848.53
11,4,852.39
9,10,1636.43
32,1,361.96
79,3,464.2
30,4,1051.95
7,4,627.13
71,2,518.28
3,4,653.19
255,3,4464.1
4,10,2526.23
15,8,4243.21
89,1,252.73000000000002
71,3,429.56
58,6,668.34
169,1,179.93
198,1,135.93
30,1,537.0
151,2,633.66
269,1,343.62
64,4,377.52
273,1,121.17000000000002
24,3,1682.77
22,3,1383.3600000000001
318,1,207.73000000000002
4,3,693.95
11,2,302.1
274,2,1489.5
24,11,2102.54
40,9,1332.77
7,4,293.0
70,4,987.86
212,1,370.79999999999995
37,4,3135.98
52,1,760.59
77,3,1744.76
45,2,553.36
178,1,1109.53
372,1,106.2
93,2,982.07
9,3,612.43
104,1,735.67
77,1,773.03
172,1,880.85
212,4,895.61
21,5,487.35
256,1,88.2
281,1,306.94
20,2,1140.27
9,6,2420.84
307,1,381.32
67,1,476.96
214,2,457.81
17,6,4589.29
103,4,1364.7
42,1,219.39000000000001
3,1,248.08
181,3,946.5
83,1,410.48
333,3,635.1
8,2,310.75
30,2,703.36
196,2,968.64
17,7,2298.93
17,5,1407.73
310,6,260.0
141,3,1150.75
245,1,463.75
23,4,973.2
28,3,1567.48
9,3,3339.12
29,10,2760.56
17,1,340.11
17,4,1352.75
14,5,1551.78
133,1,244.8
245,1,266.4
133,1,343.82
49,2,457.72
113,3,1612.13
6,2,2199.31
22,2,184.19
65,1,406.53
59,4,1431.75
49,11,3447.4
169,1,330.11
17,5,977.9300000000001
127,3,982.42
14,8,1387.99
238,1,127.15
2,4,1282.95
239,2,178.96
51,7,2350.0
45,1,498.74
225,1,259.45
3,4,1194.73
164,2,1313.66
239,1,608.65
10,1,301.29
133,1,520.8000000000001
16,10,5280.83
9,13,4684.24
30,1,329.25
74,1,224.73
0,3,961.49
3,3,1879.84
44,1,401.40000000000003
356,1,158.16
17,2,304.47
68,3,824.58
372,1,487.75
320,1,158.8
25,1,106.56
330,1,1034.5
8,5,1624.05
322,1,135.75
71,1,224.14
259,1,40.5
17,5,2202.7
366,1,87.5
65,3,689.4799999999999
153,2,622.85
28,2,402.2
69,1,310.62
13,2,411.41
119,3,1044.32
60,1,499.32
2,1,3861.0
10,3,656.4399999999999
91,2,193.64
58,4,1268.7
86,5,983.9200000000001
25,6,1827.8
356,1,316.58
84,2,653.24
9,4,420.29999999999995
0,5,867.62
224,1,331.18
59,2,894.4100000000001
240,1,88.94999999999999
318,2,325.05
1,8,1661.44
46,3,656.79
87,1,96.6
175,1,305.75
51,6,1758.92
365,1,403.25
318,1,585.0
225,2,454.90000000000003
357,2,322.08
233,1,409.40000000000003
310,1,154.41
36,5,1219.4
65,4,3376.96
238,2,429.6
112,2,612.06
276,1,197.0
217,12,2247.51
298,1,321.05
1,4,1412.32
28,3,1056.54
9,2,764.34
44,5,1691.02
66,8,1738.59
73,1,316.68
64,2,631.57
133,3,2515.84
237,2,514.15
121,1,356.0
35,2,740.78
15,5,915.3
126,1,300.36
66,1,890.85
148,1,98.45
282,1,152.14999999999998
168,2,623.16
99,7,1780.77
134,1,254.82
323,1,178.95000000000002
106,1,156.51
63,1,393.74
150,2,1506.1200000000001
337,1,119.3
21,5,1717.36
23,1,408.8
15,7,2292.49
56,2,721.94
3,2,716.57
37,1,609.19
65,1,128.63
46,1,255.89999999999998
354,1,290.51
171,1,113.12
58,9,2245.05
49,1,240.55
21,2,485.24
42,5,2306.52
28,3,935.1
200,1,178.39
50,6,3610.31
9,3,635.04
1,12,4764.1
66,6,3904.8100000000004
63,1,496.44
50,12,5007.72
289,1,574.02
60,8,680.3
63,3,1174.35
95,1,205.3
273,1,302.27
74,4,924.85
109,1,52.0
198,1,327.97
63,2,551.54
326,1,165.0
3,1,312.62
283,1,204.5
43,1,267.13
70,3,2667.48
85,1,612.93
103,1,161.74
333,1,311.71
52,1,208.75
38,3,1023.2
31,2,714.96
365,4,1661.06
207,1,1028.56
156,3,347.87
53,1,170.22
65,2,574.07
80,1,2020.52
129,1,391.76
86,1,364.5
0,3,476.58
45,1,367.69
332,1,252.42000000000002
365,1,201.60000000000002
71,1,158.04
157,2,463.90999999999997
372,1,115.65
11,7,1866.21
254,2,770.12
28,2,277.05
30,10,2718.03
39,1,427.93
361,1,418.92
372,1,318.05
95,2,913.19
25,7,1549.17
74,2,602.51
56,4,1877.59
20,1,446.94000000000005
40,7,2360.55
136,1,2007.3999999999999
7,12,2213.11
128,1,168.0
39,3,1221.56
168,7,3631.8900000000003
8,5,1682.3600000000001
213,2,596.85
169,2,642.41
39,1,316.88
185,1,394.14
269,1,140.54
171,1,500.0
4,4,1515.73
15,2,231.86
9,4,2183.54
325,1,107.45
112,1,288.18
289,1,94.0
15,2,1339.63
0,3,815.77
91,5,666.7
148,2,626.35
188,1,349.1
30,2,432.56
33,4,1046.74
263,1,267.18
83,8,3450.84
25,4,1336.43
170,1,190.53
9,3,774.9000000000001
312,1,559.61
64,4,3974.37
84,1,508.8
24,1,135.86
58,4,950.36
322,2,97.7
37,1,43.5
253,2,383.34
18,5,1394.02
32,3,1430.54
14,1,93.78
26,2,364.9
22,1,171.19
213,2,420.07
7,5,997.48
21,1,149.29
11,3,1067.75
261,1,200.16
130,1,156.57999999999998
54,3,383.68
248,1,594.0
1,7,3189.74
8,2,1411.21
263,1,113.5
330,1,155.17
312,1,494.64
25,3,971.22
29,1,429.84
29,3,528.48
1,7,1371.77
361,1,179.1
282,3,434.59000000000003
261,1,237.07
24,1,161.64
353,1,214.26
93,3,234.6
28,1,126.14
337,1,1044.65
84,1,334.53
8,3,511.88
50,2,439.71000000000004
49,2,504.5
1,1,454.48
112,1,371.56
13,7,1567.2
76,1,454.10999999999996
39,2,1399.92
115,1,905.5
160,4,225.26
0,4,3559.21
29,3,2564.5
92,1,91.32000000000001
22,3,1090.03
94,6,3090.85
27,2,659.4599999999999
32,5,1918.8600000000001
20,2,1280.58
17,2,1259.7
7,4,1131.56
362,1,141.04
80,1,52.83
52,5,3497.14
22,3,972.08
171,1,475.86
188,6,1000.27
330,1,250.0
11,5,900.53
155,2,121.0
11,11,2989.95
44,3,62.43
232,1,267.03
63,8,1900.7
1,1,343.5
39,8,2699.65
32,2,397.99
83,1,412.01000000000005
24,1,440.0
1,3,716.97
32,2,148.44
18,8,2411.68
253,1,229.33
22,11,3932.6
21,4,1497.31
7,2,1972.39
24,4,1517.13
18,3,754.12
172,4,451.9
162,1,110.92
6,1,538.46
10,1,213.3
113,1,85.13000000000001
287,1,127.86
8,9,3542.51
53,2,288.96999999999997
76,3,1640.21
3,4,575.63
36,1,436.06
216,1,90.12
59,1,428.93
277,1,217.2
23,1,279.77
28,1,468.91
11,4,722.74
351,1,134.55
21,3,1310.69
49,2,173.16
18,1,186.01
2,3,758.29
103,5,1375.71
6,12,4111.27
11,4,650.4300000000001
4,7,2533.42
31,2,583.24
177,4,675.64
37,1,921.37
150,3,258.88
161,1,127.1
68,2,327.6
155,10,717.4300000000001
24,3,682.9100000000001
23,4,712.36
176,1,455.3
49,4,913.6800000000001
255,3,456.58
46,1,388.58
70,1,199.8
15,5,1767.53
100,5,1356.34
34,1,315.71999999999997
52,1,238.18
26,2,761.74
7,9,1102.3700000000001
78,1,48.480000000000004
51,1,216.39
35,5,1198.23
60,9,2668.61
336,1,104.76
27,4,1093.68
183,1,270.03000000000003
51,1,112.46000000000001
9,11,1547.39
35,2,195.15
32,4,747.03
10,1,336.40000000000003
56,3,1523.08
3,4,1246.97
42,9,3248.33
140,1,301.03
116,4,588.13
103,4,1519.56
74,2,675.8
4,9,2865.64
44,2,1180.4
15,8,3148.31
16,1,243.55
89,2,724.76
52,1,223.36
133,1,425.32
104,4,1887.2
191,3,655.7
165,4,803.54
18,1,611.59
157,3,425.14000000000004
203,2,584.75
335,2,816.0
36,3,646.3
90,1,337.74
92,2,877.4399999999999
8,2,922.53
242,1,511.32
44,4,748.5
22,1,30.0
189,5,958.9
43,1,306.45
24,9,1552.51
316,2,309.8
105,1,138.14
50,1,386.43
167,2,2222.21
39,1,301.32
217,1,76.32000000000001
39,4,677.69
296,1,173.05
18,7,2643.9900000000002
87,4,2726.23
72,4,1744.02
80,3,323.69
18,3,3324.09
48,1,657.23
52,1,352.7
23,4,781.28
8,3,1333.68
24,5,946.36
116,1,193.75
8,9,2981.5
119,2,254.1
3,2,239.76
251,1,136.8
27,1,191.04
266,2,409.98
32,8,2619.11
17,1,309.65
171,2,664.03
1,4,1529.0
264,1,211.5
139,4,2293.62
200,1,143.1
63,4,1001.81
34,4,916.98
40,7,3209.05
283,1,133.25
8,5,1072.3600000000001
142,2,346.75
11,2,330.03000000000003
145,4,1101.1100000000001
233,1,150.3
32,13,5026.77
23,1,598.73
11,1,471.40000000000003
35,5,2205.31
364,1,190.7
200,2,212.3
14,1,415.25
16,7,5159.06
212,1,62.0
65,3,1108.38
211,2,294.12
282,1,162.3
114,2,1339.45
14,8,1121.21
65,1,449.12
48,1,154.88
15,4,775.96
77,1,34.8
18,4,1071.24
133,1,182.96
12,3,946.64
39,1,144.36
2,8,2457.2
39,7,2618.15
304,1,79.2
50,3,455.67
9,6,2318.88
60,4,528.01
65,2,714.42
24,1,205.25
217,3,253.04
64,2,583.75
31,2,1048.67
87,6,3248.82
63,1,315.06
115,3,621.8299999999999
5,1,635.6800000000001
68,1,270.8
244,1,104.9
132,1,241.62
240,4,1021.61
183,3,475.28000000000003
24,3,333.56
9,3,2593.94
10,1,246.3
32,5,2303.75
45,3,4821.0
25,3,933.26
357,1,351.3
9,1,218.75
43,2,1604.44
14,3,948.96
149,1,610.01
0,8,2704.6600000000003
112,3,2192.4
75,3,884.14
106,2,696.89
45,3,1042.19
50,1,415.82000000000005
0,13,3848.55
45,3,784.58
49,3,903.9
305,4,3648.7200000000003
35,5,399.21
78,4,1212.52
21,6,2171.32
106,5,1801.14
207,2,1303.9099999999999
16,4,1919.23
63,5,2100.6
48,4,1905.45
319,1,206.98
43,2,570.96
2,2,885.47
171,1,532.94
55,3,1649.3600000000001
98,2,636.14
37,1,547.7
57,3,794.64
253,1,836.79
69,4,2097.65
43,4,954.09
49,1,117.47
64,1,391.98
32,3,1026.69
58,2,345.65999999999997
72,4,1209.1
303,1,118.95000000000002
45,1,130.73999999999998
17,8,3650.87
37,2,389.27
18,2,234.88
186,2,160.71
51,1,110.8
3,12,2969.12
136,5,712.24
18,1,297.0
15,5,1427.57
40,8,965.16
11,8,2981.92
7,4,832.88
25,2,68.84
21,6,1769.7800000000002
40,3,895.13
100,1,211.89
276,2,149.64
32,1,351.44
14,2,316.25
63,7,4399.9800000000005
1,2,437.83
368,1,299.03000000000003
311,5,438.24
198,4,493.08000000000004
1,2,396.48
92,1,349.35
59,1,181.09
80,1,135.6
156,2,400.77
226,1,509.13
252,2,257.6
149,1,179.17
193,2,208.59
0,5,1379.63
368,1,56.25
23,1,337.28
16,3,349.75
9,7,5126.34
7,1,164.68
19,7,1567.69
3,3,881.87
173,1,191.94
0,8,1228.88
177,2,264.62
15,8,1484.31
247,1,123.1
190,2,334.23
19,2,525.69
153,3,163.55
172,1,323.03000000000003
372,1,363.6
372,1,127.08
193,1,207.15
66,1,426.63
3,8,2461.85
20,3,1107.46
238,1,108.03999999999999
63,1,145.35
111,5,404.58
310,1,35.8
133,1,337.44
276,1,325.1
364,1,181.0
82,1,1708.24
7,2,955.24
16,2,364.72
31,4,1684.46
8,2,669.57
33,4,781.91
14,8,1651.33
31,1,428.89
73,1,104.35
19,2,470.76
16,4,808.87
22,2,397.68
2,3,582.9
303,1,314.1
17,12,4194.9
366,1,296.87
38,7,3429.55
83,1,371.01
164,2,427.64
16,2,1054.73
76,1,1098.78
88,3,2398.86
24,8,3408.48
21,4,1465.12
2,10,2759.93
122,2,1037.42
29,1,168.12
11,7,1432.77
18,1,156.78
43,2,792.11
3,1,41.989999999999995
8,7,2731.17
54,1,414.27
87,6,1016.6800000000001
36,5,3080.22
29,5,2735.37
11,4,578.71
210,1,101.4
47,4,1693.81
23,3,478.78
21,4,972.11
245,3,392.4
34,3,1415.29
37,3,637.58
3,3,689.41
2,8,1440.06
46,1,211.88
38,2,408.90000000000003
46,9,3450.2400000000002
16,3,851.01
259,1,602.63
45,3,719.81
11,1,245.75
29,1,439.65999999999997
42,1,236.09
91,6,934.62
309,1,331.24
91,2,547.9
195,3,437.7
86,2,758.92
269,3,855.02
7,3,454.33
64,3,1313.55
30,3,3166.4
21,5,1177.47
37,4,773.99
119,4,1340.7
372,2,256.44
39,3,1074.81
173,1,137.9
53,1,362.06
32,2,1511.95
144,1,783.9
220,1,134.8
44,1,650.75
15,7,2140.2200000000003
65,6,1453.16
9,4,1153.62
259,1,335.32
364,1,367.14
16,5,1521.04
21,2,852.15
44,1,326.24
287,1,584.3199999999999
296,1,94.35
2,10,2173.53
283,1,79.2
16,3,1352.0
81,2,176.6
55,5,2799.42
100,2,1317.62
298,1,436.18
22,5,981.51
58,5,1119.31
154,2,315.06
114,3,779.36
106,1,17.0
11,4,1066.53
263,1,320.62
239,1,185.04999999999998
87,7,2005.63
49,3,731.9
70,1,1245.96
41,3,1842.14
6,6,1429.64
61,1,298.21
248,1,336.96
65,1,108.38
17,7,3204.1600000000003
84,1,816.1
218,2,611.88
44,3,1320.95
142,4,195.73999999999998
182,1,161.38
170,1,135.75000000000003
9,8,1660.8799999999999
211,1,592.88
189,1,232.21
7,2,423.36
58,4,1294.14
56,2,854.66
72,4,684.4200000000001
51,1,307.78
316,1,187.15
366,1,289.35
38,1,656.25
17,5,1880.22
51,6,3506.54
21,2,603.6899999999999
262,1,517.55
59,3,709.38
18,3,635.41
65,2,708.18
87,1,620.4
249,1,535.34
2,6,2419.84
246,1,175.2
8,11,3737.73
156,3,734.13
133,1,375.0
295,1,76.32000000000001
4,2,280.52
42,5,1906.07
268,1,1829.04
49,5,1824.23
8,9,3002.2400000000002
15,3,644.24
281,1,348.2
64,2,1011.13
251,1,37.4
231,2,441.6
16,3,802.53
7,4,1822.97
50,6,1880.4199999999998
58,1,73.2
94,5,1140.21
15,6,1406.57
125,3,1009.5500000000001
93,4,1037.59
49,1,331.95
137,1,197.9
60,1,215.83
72,1,305.54
66,1,338.71000000000004
63,6,1155.54
16,2,529.41
22,12,3991.94
44,4,981.86
15,2,215.48
39,1,215.08
2,13,4935.42
236,1,314.45
74,1,400.68
3,2,1068.8700000000001
2,4,1821.52
360,1,365.27
58,4,589.15
22,1,384.18
30,4,751.03
54,4,537.0600000000001
24,1,394.38
44,2,664.26
88,5,2262.62
88,1,542.77
18,2,681.19
78,1,159.0
170,3,1062.75
80,1,242.35
266,1,914.9300000000001
234,2,266.45000000000005
29,7,3054.87
36,3,860.86
317,1,773.5500000000001
56,4,1295.3
44,5,1096.32
202,3,255.12
224,1,308.32000000000005
86,2,1010.6
189,2,542.03
43,4,983.23
70,3,454.98
40,4,848.41
77,1,432.2
56,2,372.9
23,2,3699.98
9,13,2590.31
7,7,3574.91
33,2,409.1
211,2,1522.75
23,3,1352.3600000000001
169,1,114.56
61,1,152.94
52,5,1800.07
260,2,389.44
66,2,3683.86
16,8,2609.3
266,1,732.63
176,1,21.95
44,5,5203.51
50,1,1035.45
16,4,728.54
8,9,5323.15
73,7,861.89
70,2,617.65
352,1,1141.24
15,4,1389.64
116,1,411.7
372,1,331.55
196,1,559.87
176,1,810.6000000000001
99,1,537.83
20,3,1502.78
71,1,2062.06
339,1,168.3
5,5,1529.81
30,2,812.68
169,1,142.5
121,1,280.9
21,10,2236.7400000000002
9,4,1328.55
268,1,278.55
22,3,598.2
126,1,212.82
25,3,5305.83
